,category,max_annual_earnings,max_monthly_earnings,min_annual_earnings,min_monthly_earnings,name
0,Music,118700000,9900000,7400000,618500,T-Series
1,Howto,3400000,2800000,2100000,17700,5-Minute Crafts
2,Entertainment,19900000,1700000,1200000,103600,VN Children’s Music
3,Education,60700000,5100000,3800000,316100,Cocomelon - Nursery Rhymes
4,People,32700000,2700000,200000,170500,Like Nastya Vlog
5,Entertainment,29800000,2500000,1900000,155400,Salih Reis'in Dünyası
6,Music,14800000,1200000,923300,76900,U2VEVO
7,Entertainment,28800000,2400000,1800000,149800,✿ Kids Diana Show
8,Film,12400000,100000,775900,64700,jorgeembon
9,Music,29500000,2500000,1800000,153500,netd müzik
10,Tech,13800000,1200000,864300,7200,Google
11,Music,24100000,200000,1500000,125300,Zee Music Company
12,People,18400000,1500000,1200000,9600,Boram Tube ToysReview [보람튜브…
13,People,498900,41600,31200,2600,سيف SAIIF
14,Education,22600000,1900000,1400000,117600,Toys and Colors
15,Entertainment,21200000,1800000,1300000,110300,one31
16,Music,20300000,1700000,1300000,105800,GR6 EXPLODE
17,Music,19300000,1600000,1200000,100700,Sony Music India
18,Entertainment,18600000,1500000,1200000,96800,CKN Toys
19,Music,18200000,1500000,1100000,94700,SonyMusicIndiaVEVO
20,People,18600000,1500000,1200000,96600,BLACKPINK
21,Comedy,8400000,696800,522600,43500,All Of Vines
22,Howto,14700000,1200000,921800,76800,HelloMaphie
23,Entertainment,11800000,986300,739700,61600,LES BOYS TV2
24,Music,14800000,1200000,926100,77200,1theK (원더케이)
25,Music,1400000,1200000,877300,73100,قناة طيور الجنة | toyoraljanahtv
26,,10100000,841600,631200,52600,KutKit Kids
27,Entertainment,14700000,1200000,918600,76500,Shemaroo
28,Music,14400000,1200000,902500,75200,Maroon5VEVO
29,Music,0,0,0,0,RSDivulga - Funk
30,Entertainment,0,0,0,0,NIMAGAP TV
31,Entertainment,6300000,524900,393700,32800,z a m
32,Film,14900000,1200000,933500,77800,Goldmines Telefilms
33,Music,12800000,1100000,802400,66900,Venus
34,Music,13900000,1200000,86700,72300,DJSnakeVEVO
35,Music,17300000,1400000,1100000,90100,WORLDSTARHIPHOP
36,Comedy,15200000,1300000,952800,79400,Dehati India N Masti
37,People,2800000,230900,173200,14400,KidzToon
38,Entertainment,11700000,976500,732400,6100,Webs & Tiaras - Toy Monster Compilations
39,Entertainment,13500000,1100000,846400,70500,SuperToyzCollector
40,News,9400000,781100,585800,48800,Aaj Tak
41,Howto,10400000,86400,64800,5400,Izabela Stress
42,,8600000,715300,536400,44700,Boong Family
43,Howto,5800000,482200,361700,30100,LY LY ToysReview
44,Music,10700000,892200,669100,55800,Galinha Pintadinha
45,Music,10900000,911300,683500,5700,Bounce Patrol Kids
46,Entertainment,11300000,943300,707400,5900,ThaiCh8 : ช่อง 8
47,People,11200000,931100,698300,58200,Las Ratitas
48,Games,5100000,423800,317800,26500,June WH Lake
49,People,11100000,921100,690800,57600,Hello TV- Nursery Rhymes
50,Music,11800000,981300,73600,61300,David Guetta
51,,5100000,421500,316200,26300,Mr. Tsismoso
52,Music,10900000,910800,683100,56900,Wave Music - Bhojpuri
53,Music,9600000,802300,601700,50100,EminemVEVO
54,Comedy,9400000,784900,588700,49100,FV FAMILY
55,Film,1000000,829600,622200,51800,OYUNCAKOYNUYORUM
56,,395300,32900,24700,2100,SHN MOVIES
57,Film,10700000,894400,670800,55900,Goldmines
58,,8600000,71400,535500,44600,Funny TV show
59,Film,7300000,611500,458600,38200,shfa
60,Film,9500000,788700,591500,49300,Nick Jr.
61,Music,9700000,810300,607700,50600,GMM GRAMMY OFFICIAL
62,Music,9600000,799400,599500,5000,Alan Walker
63,Music,10600000,882300,661700,55100,Worldwide Records Bhojpuri
64,Film,5900000,488700,366500,30500,Hasbro
65,Entertainment,8900000,737800,553300,46100,LEGO
66,People,7200000,599300,449500,37500,ABP NEWS
67,Music,9900000,824400,618300,51500,ImagineDragonsVEVO
68,People,7900000,659200,494400,41200,Давай поиграем в игрушки
69,Entertainment,8600000,715600,536700,44700,RCTI - LAYAR DRAMA INDONESIA
70,Howto,9400000,786200,589700,49100,BRIGHT SIDE
71,Entertainment,900000,748800,561600,46800,ARY Digital
72,Film,9200000,766400,574800,47900,Pencilmation
73,Howto,8200000,680200,510100,42500,5-Minute Crafts GIRLY
74,Music,9400000,783900,587900,4900,jbalvinVEVO
75,Howto,9700000,805500,604100,50300,Rainbow ToyTocToc
76,Games,0,0,0,0,SNL
77,Film,8400000,700500,525400,43800,Happy Lives
78,Education,8700000,72900,546700,45600,BabyBus - Kids TV - Songs & Stories
79,,8800000,731800,548900,45700,Tekashi 6ix9ine
80,Music,8400000,702900,527100,43900,ibighit
81,Music,8500000,710400,532800,44400,BeckyGVEVO
82,Entertainment,8100000,678300,508700,42400,KBS World TV
83,Film,7100000,590900,443200,36900,Little Angel: Nursery Rhymes & Kids Songs
84,People,8700000,728900,546700,45600,ETV Jabardasth
85,Education,8100000,672500,504400,4200,ZicZic Baby
86,Music,8300000,68900,516700,43100,KarolGVEVO
87,Entertainment,7900000,655200,491400,4100,Ryan's Family Review
88,,3500000,291700,218800,18200,Mr Ryder India
89,Entertainment,8500000,70700,530300,44200,Volga Video
90,Music,8400000,70300,527200,43900,Ultra Music
91,Entertainment,8700000,721200,540900,45100,La Rosa de Guadalupe
92,Music,8300000,694400,520800,43400,LadyGagaVEVO
93,Music,8100000,674600,505900,42200,ChainsmokersVEVO
94,People,736400,61400,4600,3800,Zalfa Aulia Channel
95,Music,8100000,676900,507700,42300,SebastianYatraVEVO
96,Entertainment,8100000,675500,506600,42200,YoungBoy Never Broke Again
97,Music,3800000,313700,235200,19600,Ajay Yuvraj
98,Music,7800000,653400,49000,40800,Atlantic Records
99,Games,8600000,716700,537600,44800,Hong Giang DIY Slime
100,Music,7700000,644400,483300,40300,White Hill Music
101,Games,800000,664800,498600,41500,LazarBeam
102,Howto,7100000,592300,444200,3700,Troom Troom
103,Education,7100000,590500,442900,36900,El Reino a Jugar
104,Entertainment,7400000,615300,461500,38500,Você Sabia?
105,Entertainment,6200000,518900,389200,32400,SurpriseJoe
106,,3700000,310900,233200,19400,Tin Tức Mỗi Ngày
